epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.4806,0.95882,0.92999,1.13173,0.41792,0.8401,0.64383,0.44126,1.10661,1.45369,1.28811,0.000848969,0.000848969,0.000848969
43,99.7133,0.98114,0.91994,1.1378,0.53473,0.63515,0.65662,0.4579,1.07273,1.17763,1.27726,0.000834822,0.000834822,0.000834822
44,101.927,0.99189,0.89153,1.16476,0.4973,0.61983,0.55357,0.38375,1.0881,1.3612,1.31511,0.000820675,0.000820675,0.000820675
45,104.16,0.96215,0.9271,1.14866,0.60674,0.69517,0.6773,0.45833,1.1041,0.99623,1.31536,0.000806528,0.000806528,0.000806528
46,106.362,0.94005,0.90241,1.14561,0.5968,0.69278,0.6566,0.45927,1.0172,1.086,1.28507,0.00079238,0.00079238,0.00079238
47,108.544,0.85495,0.81715,1.09275,0.553,0.7541,0.6643,0.46816,1.02161,1.09043,1.2513,0.000778233,0.000778233,0.000778233
48,110.736,0.93575,0.86631,1.12529,0.50396,0.69135,0.59016,0.42315,1.02963,1.50357,1.24861,0.000764086,0.000764086,0.000764086
49,112.955,0.89649,0.82199,1.08463,0.66099,0.64351,0.69786,0.50713,1.01528,1.06316,1.25625,0.000749939,0.000749939,0.000749939
50,115.189,0.8825,0.792,1.09139,0.51346,0.62759,0.62901,0.451,1.05794,1.72643,1.26663,0.000735792,0.000735792,0.000735792
51,117.423,0.8985,0.84099,1.09655,0.56206,0.63821,0.6977,0.49875,0.98328,1.22172,1.25128,0.000721645,0.000721645,0.000721645
52,119.673,0.89009,0.79023,1.09451,0.6797,0.67481,0.72161,0.52732,1.01523,1.05144,1.30097,0.000707498,0.000707498,0.000707498
53,121.912,0.82108,0.77614,1.07822,0.55749,0.75739,0.72344,0.52432,1.00959,1.14388,1.29085,0.000693351,0.000693351,0.000693351
54,124.129,0.87231,0.7618,1.09707,0.45891,0.68879,0.59645,0.42904,1.0179,1.24346,1.26639,0.000679204,0.000679204,0.000679204
55,126.322,0.86543,0.77874,1.09399,0.68072,0.68115,0.70471,0.51004,1.01286,1.05783,1.25162,0.000665057,0.000665057,0.000665057
56,128.587,0.83837,0.72753,1.07819,0.55823,0.62144,0.52339,0.388,1.00084,1.68812,1.24879,0.000650909,0.000650909,0.000650909
57,130.81,0.88127,0.76341,1.11386,0.46164,0.74295,0.5796,0.4413,1.02927,1.55629,1.29348,0.000636762,0.000636762,0.000636762
58,133.037,0.80533,0.71436,1.06146,0.5615,0.66625,0.66309,0.49563,0.97657,1.17378,1.26297,0.000622615,0.000622615,0.000622615
59,135.241,0.795,0.64852,1.03639,0.6572,0.63941,0.69507,0.5219,0.99361,1.2612,1.27345,0.000608468,0.000608468,0.000608468
60,137.472,0.79959,0.69555,1.05595,0.53489,0.72606,0.62107,0.43699,1.08025,1.55385,1.27742,0.000594321,0.000594321,0.000594321
61,139.684,0.77586,0.66298,1.03517,0.61299,0.70693,0.71621,0.51945,0.98164,1.1349,1.23775,0.000580174,0.000580174,0.000580174
62,141.973,0.79783,0.69487,1.05624,0.59839,0.79107,0.73655,0.52502,0.96946,0.99964,1.26485,0.000566027,0.000566027,0.000566027
63,144.2,0.85715,0.73047,1.11774,0.58756,0.71624,0.64524,0.46543,1.05554,1.34688,1.30043,0.00055188,0.00055188,0.00055188
64,146.421,0.78512,0.66038,1.05109,0.69135,0.6824,0.70514,0.50129,1.04607,1.14365,1.29951,0.000537733,0.000537733,0.000537733
65,148.676,0.81108,0.69173,1.06106,0.61773,0.71922,0.73211,0.54393,1.00963,1.17771,1.26791,0.000523586,0.000523586,0.000523586
66,150.954,0.77002,0.66387,1.04222,0.56394,0.71823,0.68368,0.48919,1.00974,1.40456,1.25563,0.000509438,0.000509438,0.000509438
67,153.163,0.75884,0.6515,1.02787,0.64765,0.67485,0.70654,0.51972,0.96311,1.14699,1.21898,0.000495291,0.000495291,0.000495291
68,155.368,0.75656,0.62436,1.01957,0.65974,0.7004,0.74547,0.54432,0.95525,1.09538,1.22662,0.000481144,0.000481144,0.000481144
69,157.594,0.80122,0.71751,1.05557,0.54106,0.72523,0.69051,0.50784,0.99085,1.42078,1.23955,0.000466997,0.000466997,0.000466997
70,159.812,0.7646,0.6243,1.03192,0.57133,0.76824,0.73691,0.54837,0.97956,1.07975,1.26621,0.00045285,0.00045285,0.00045285
71,162.071,0.72939,0.62313,1.03439,0.50497,0.76506,0.69599,0.51153,0.98921,1.17378,1.27495,0.000438703,0.000438703,0.000438703
72,164.308,0.72876,0.63368,1.01614,0.62016,0.5897,0.65827,0.4917,0.98314,1.26384,1.27562,0.000424556,0.000424556,0.000424556
73,166.49,0.74872,0.59995,1.03092,0.56879,0.67581,0.64738,0.47808,0.97527,1.1744,1.28372,0.000410409,0.000410409,0.000410409
74,168.664,0.75398,0.61507,1.05106,0.61148,0.67943,0.7129,0.52187,1.00013,1.16144,1.29126,0.000396262,0.000396262,0.000396262
75,170.827,0.71536,0.62323,1.02105,0.59913,0.7245,0.71704,0.53536,0.96208,1.06192,1.28046,0.000382115,0.000382115,0.000382115
76,173.048,0.71465,0.58844,1.02553,0.5869,0.82126,0.75369,0.54312,0.97545,1.02849,1.28759,0.000367967,0.000367967,0.000367967
77,175.262,0.70274,0.56947,1.0158,0.57474,0.74707,0.69473,0.50034,1.0091,1.23518,1.30175,0.00035382,0.00035382,0.00035382
78,177.498,0.72829,0.59384,1.01679,0.49363,0.71019,0.5753,0.40471,1.03003,1.72408,1.29512,0.000339673,0.000339673,0.000339673
79,179.712,0.72419,0.57254,1.01148,0.53676,0.70603,0.61502,0.44567,1.0093,1.45724,1.26631,0.000325526,0.000325526,0.000325526
80,181.994,0.70855,0.57385,1.0003,0.63826,0.70573,0.71114,0.5074,0.99742,1.04963,1.27144,0.000311379,0.000311379,0.000311379
